,iata_code,date,min_temp,max_temp,avg_temp,total_snowcm,windspeed_kmhr,precip_mm,humidity,visibility,cloud_cover,heat_indexC,wind_chillC,wind_gust,feels_like,weather_description
242,ATL,2018-08-31,25,37,31,0.0,30,0.0,52,10,6,32,30,44,32,Sunny
243,ATL,2018-09-01,25,35,31,0.0,25,0.1,53,10,6,31,30,36,31,Sunny
244,ATL,2018-09-02,23,32,29,0.0,21,3.2,66,10,23,30,27,30,30,Thundery outbreaks possible
245,ATL,2018-09-03,21,29,25,0.0,16,4.1,81,10,67,27,25,23,27,Overcast
246,ATL,2018-09-04,22,29,26,0.0,19,6.1,81,10,79,27,25,26,27,Moderate or heavy rain shower
247,ATL,2018-09-05,21,30,26,0.0,10,9.0,78,9,45,27,25,15,27,Light rain shower
248,ATL,2018-09-06,20,24,22,0.0,18,2.2,87,9,98,23,22,23,23,Light rain shower
249,ATL,2018-09-07,19,24,22,0.0,14,14.6,89,9,97,22,21,20,22,Moderate or heavy rain shower
250,ATL,2018-09-08,18,21,20,0.0,17,3.1,86,9,98,20,20,22,20,Light rain shower
251,ATL,2018-09-09,14,25,21,0.0,11,0.0,71,10,10,20,19,16,19,Sunny
252,ATL,2018-09-10,14,25,21,0.0,10,0.0,76,10,8,20,19,15,19,Sunny
253,ATL,2018-09-11,16,27,23,0.0,17,0.0,76,10,22,22,21,25,22,Partly cloudy
254,ATL,2018-09-12,17,27,23,0.0,19,0.1,79,10,36,23,22,29,23,Cloudy
255,ATL,2018-09-13,20,29,25,0.0,25,0.1,79,10,40,26,24,35,26,Overcast
256,ATL,2018-09-14,21,31,28,0.0,21,0.0,72,10,12,28,26,31,28,Partly cloudy
257,ATL,2018-09-15,22,31,28,0.0,10,0.7,67,10,22,28,26,17,28,Patchy rain possible
258,ATL,2018-09-16,22,31,28,0.0,9,1.1,66,10,39,28,26,14,28,Partly cloudy
259,ATL,2018-09-17,22,33,29,0.0,16,3.4,67,10,23,29,27,25,29,Patchy rain possible
260,ATL,2018-09-18,23,33,29,0.0,19,0.3,63,10,16,30,28,29,30,Partly cloudy
261,ATL,2018-09-19,24,33,30,0.0,24,0.0,55,10,13,30,28,36,30,Sunny
262,ATL,2018-09-20,25,33,29,0.0,29,2.4,54,10,7,29,28,42,29,Sunny
263,ATL,2018-09-21,15,20,19,0.0,16,16.3,68,9,48,20,20,23,20,Torrential rain shower
264,ATL,2018-09-22,11,23,18,0.0,14,0.0,66,10,1,17,16,22,16,Sunny
265,ATL,2018-09-23,14,25,21,0.0,11,0.0,76,8,14,19,19,17,19,Mist
266,ATL,2018-09-24,17,27,22,0.0,18,0.0,81,10,32,21,21,26,21,Partly cloudy
